2016-11-04T10:35:05.695+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105361, 936.250}, Platine, Cours platine}, Variation{+ 0.000%}}
2016-11-04T10:35:06.114+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105829, 52.389}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.041%}}
2016-11-04T10:35:06.123+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106052, 149.645}, Café C, Cours café}, Variation{- 0.041%}}
2016-11-04T10:35:06.131+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105805, 982.877}, Soja, Cours soja}, Variation{- 0.015%}}
2016-11-04T10:35:06.151+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105808, 1314.964}, Or, Cours or}, Variation{+ 0.042%}}
2016-11-04T10:35:06.239+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106050, 1013.431}, Platine, Cours platine}, Variation{+ 0.036%}}
2016-11-04T10:35:06.266+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105777, 64.050}, Coton, Cours coton}, Variation{- 0.030%}}
2016-11-04T10:35:06.271+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105952, 409.144}, Blé, Cours blé}, Variation{+ 0.016%}}
2016-11-04T10:35:06.279+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106132, 959.580}, Soja, Cours soja}, Variation{- 0.024%}}
2016-11-04T10:35:06.304+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:05 38105876, 49.279}, Brebt oil, Cours brent}, Variation{- 0.041%}}
2016-11-04T10:35:06.305+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106305, 1089.069}, Platine, Cours platine}, Variation{+ 0.039%}}
2016-11-04T10:35:06.318+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106152, 1328.622}, Or, Cours or}, Variation{+ 0.011%}}
2016-11-04T10:35:06.349+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106305, 1089.069}, Platine, Cours platine}, Variation{+ 0.039%}}
2016-11-04T10:35:06.363+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106268, 61.532}, Coton, Cours coton}, Variation{- 0.040%}}
2016-11-04T10:35:06.391+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106272, 426.414}, Blé, Cours blé}, Variation{+ 0.043%}}
2016-11-04T10:35:06.396+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106093, 54.983}, Pétrole, Cours pétrole}, Variation{+ 0.043%}}
2016-11-04T10:35:06.413+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106124, 142.516}, Café C, Cours café}, Variation{- 0.048%}}
2016-11-04T10:35:06.491+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106397, 56.320}, Pétrole, Cours pétrole}, Variation{+ 0.025%}}
2016-11-04T10:35:06.499+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106392, 440.012}, Blé, Cours blé}, Variation{+ 0.032%}}
2016-11-04T10:35:06.560+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106115, 53.735}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.026%}}
2016-11-04T10:35:06.587+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106364, 59.700}, Coton, Cours coton}, Variation{- 0.030%}}
2016-11-04T10:35:06.666+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106281, 942.200}, Soja, Cours soja}, Variation{- 0.019%}}
2016-11-04T10:35:06.688+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106319, 1366.625}, Or, Cours or}, Variation{+ 0.029%}}
2016-11-04T10:35:06.703+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106306, 48.390}, Brebt oil, Cours brent}, Variation{- 0.019%}}
2016-11-04T10:35:06.717+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106667, 904.737}, Soja, Cours soja}, Variation{- 0.040%}}
2016-11-04T10:35:06.722+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106561, 55.386}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.031%}}
2016-11-04T10:35:06.812+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106350, 1127.023}, Platine, Cours platine}, Variation{+ 0.035%}}
2016-11-04T10:35:06.816+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106588, 57.217}, Coton, Cours coton}, Variation{- 0.042%}}
2016-11-04T10:35:06.836+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106704, 47.900}, Brebt oil, Cours brent}, Variation{- 0.011%}}
2016-11-04T10:35:06.877+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106492, 58.918}, Pétrole, Cours pétrole}, Variation{+ 0.047%}}
2016-11-04T10:35:06.893+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106415, 140.948}, Café C, Cours café}, Variation{- 0.012%}}
2016-11-04T10:35:06.896+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106500, 459.685}, Blé, Cours blé}, Variation{+ 0.045%}}
2016-11-04T10:35:06.915+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106689, 1433.907}, Or, Cours or}, Variation{+ 0.050%}}
2016-11-04T10:35:06.964+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106722, 57.284}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.035%}}
2016-11-04T10:35:06.977+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106837, 47.034}, Brebt oil, Cours brent}, Variation{- 0.019%}}
2016-11-04T10:35:07.016+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106878, 59.917}, Pétrole, Cours pétrole}, Variation{+ 0.017%}}
2016-11-04T10:35:07.032+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106978, 45.733}, Brebt oil, Cours brent}, Variation{- 0.028%}}
2016-11-04T10:35:07.097+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106718, 884.012}, Soja, Cours soja}, Variation{- 0.023%}}
2016-11-04T10:35:07.102+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106916, 1452.110}, Or, Cours or}, Variation{+ 0.013%}}
2016-11-04T10:35:07.115+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107033, 44.394}, Brebt oil, Cours brent}, Variation{- 0.030%}}
2016-11-04T10:35:07.131+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106813, 1170.873}, Platine, Cours platine}, Variation{+ 0.039%}}
2016-11-04T10:35:07.193+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106894, 133.915}, Café C, Cours café}, Variation{- 0.050%}}
2016-11-04T10:35:07.194+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106816, 55.839}, Coton, Cours coton}, Variation{- 0.025%}}
2016-11-04T10:35:07.195+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106896, 472.309}, Blé, Cours blé}, Variation{+ 0.028%}}
2016-11-04T10:35:07.300+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107116, 42.421}, Brebt oil, Cours brent}, Variation{- 0.045%}}
2016-11-04T10:35:07.327+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:06 38106965, 60.060}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.049%}}
2016-11-04T10:35:07.443+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107103, 1482.679}, Or, Cours or}, Variation{+ 0.022%}}
2016-11-04T10:35:07.448+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107195, 127.466}, Café C, Cours café}, Variation{- 0.049%}}
2016-11-04T10:35:07.449+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107131, 1204.151}, Platine, Cours platine}, Variation{+ 0.029%}}
2016-11-04T10:35:07.487+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107449, 1261.096}, Platine, Cours platine}, Variation{+ 0.048%}}
2016-11-04T10:35:07.499+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107018, 62.076}, Pétrole, Cours pétrole}, Variation{+ 0.037%}}
2016-11-04T10:35:07.566+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107098, 874.772}, Soja, Cours soja}, Variation{- 0.011%}}
2016-11-04T10:35:07.578+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107488, 1293.710}, Platine, Cours platine}, Variation{+ 0.026%}}
2016-11-04T10:35:07.604+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107194, 53.160}, Coton, Cours coton}, Variation{- 0.048%}}
2016-11-04T10:35:07.607+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107301, 41.246}, Brebt oil, Cours brent}, Variation{- 0.028%}}
2016-11-04T10:35:07.625+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107196, 493.742}, Blé, Cours blé}, Variation{+ 0.046%}}
2016-11-04T10:35:07.653+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107605, 50.839}, Coton, Cours coton}, Variation{- 0.044%}}
2016-11-04T10:35:07.683+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107567, 831.049}, Soja, Cours soja}, Variation{- 0.050%}}
2016-11-04T10:35:07.737+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107444, 1529.455}, Or, Cours or}, Variation{+ 0.032%}}
2016-11-04T10:35:07.738+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107737, 61.785}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.018%}}
2016-11-04T10:35:07.746+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107449, 124.404}, Café C, Cours café}, Variation{- 0.025%}}
2016-11-04T10:35:07.779+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107626, 517.072}, Blé, Cours blé}, Variation{+ 0.048%}}
2016-11-04T10:35:07.779+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107779, 795.583}, Soja, Cours soja}, Variation{- 0.015%}}
2016-11-04T10:35:07.785+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107578, 1340.714}, Platine, Cours platine}, Variation{+ 0.037%}}
2016-11-04T10:35:07.787+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107500, 63.903}, Pétrole, Cours pétrole}, Variation{+ 0.030%}}
2016-11-04T10:35:07.914+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107607, 39.440}, Brebt oil, Cours brent}, Variation{- 0.044%}}
2016-11-04T10:35:07.923+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107654, 49.672}, Coton, Cours coton}, Variation{- 0.023%}}
2016-11-04T10:35:07.935+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107737, 61.785}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.018%}}
2016-11-04T10:35:07.942+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107738, 1601.702}, Or, Cours or}, Variation{+ 0.048%}}
2016-11-04T10:35:07.948+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107787, 65.755}, Pétrole, Cours pétrole}, Variation{+ 0.029%}}
2016-11-04T10:35:07.961+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107923, 47.301}, Coton, Cours coton}, Variation{- 0.048%}}
2016-11-04T10:35:08.017+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107942, 1675.587}, Or, Cours or}, Variation{+ 0.047%}}
2016-11-04T10:35:08.112+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108018, 1693.755}, Or, Cours or}, Variation{+ 0.011%}}
2016-11-04T10:35:08.147+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107747, 120.142}, Café C, Cours café}, Variation{- 0.035%}}
2016-11-04T10:35:08.173+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107915, 37.591}, Brebt oil, Cours brent}, Variation{- 0.047%}}
2016-11-04T10:35:08.192+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108148, 115.399}, Café C, Cours café}, Variation{- 0.040%}}
2016-11-04T10:35:08.207+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107780, 530.069}, Blé, Cours blé}, Variation{+ 0.026%}}
2016-11-04T10:35:08.234+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107785, 1379.455}, Platine, Cours platine}, Variation{+ 0.029%}}
2016-11-04T10:35:08.268+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108113, 1733.827}, Or, Cours or}, Variation{+ 0.024%}}
2016-11-04T10:35:08.273+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107779, 795.583}, Soja, Cours soja}, Variation{- 0.015%}}
2016-11-04T10:35:08.282+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108173, 35.982}, Brebt oil, Cours brent}, Variation{- 0.043%}}
2016-11-04T10:35:08.316+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107961, 45.322}, Coton, Cours coton}, Variation{- 0.042%}}
2016-11-04T10:35:08.325+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108268, 1813.985}, Or, Cours or}, Variation{+ 0.047%}}
2016-11-04T10:35:08.327+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107935, 64.092}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.038%}}
2016-11-04T10:35:08.416+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108325, 1842.066}, Or, Cours or}, Variation{+ 0.016%}}
2016-11-04T10:35:08.444+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:07 38107948, 68.043}, Pétrole, Cours pétrole}, Variation{+ 0.035%}}
2016-11-04T10:35:08.468+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108207, 552.406}, Blé, Cours blé}, Variation{+ 0.043%}}
2016-11-04T10:35:08.482+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108193, 112.732}, Café C, Cours café}, Variation{- 0.024%}}
2016-11-04T10:35:08.497+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108234, 1446.762}, Platine, Cours platine}, Variation{+ 0.049%}}
2016-11-04T10:35:08.559+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108273, 781.030}, Soja, Cours soja}, Variation{- 0.019%}}
2016-11-04T10:35:08.611+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108282, 35.024}, Brebt oil, Cours brent}, Variation{- 0.027%}}
2016-11-04T10:35:08.712+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108316, 43.298}, Coton, Cours coton}, Variation{- 0.045%}}
2016-11-04T10:35:08.733+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108611, 34.094}, Brebt oil, Cours brent}, Variation{- 0.027%}}
2016-11-04T10:35:08.735+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108712, 42.318}, Coton, Cours coton}, Variation{- 0.023%}}
2016-11-04T10:35:08.773+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108469, 571.191}, Blé, Cours blé}, Variation{+ 0.035%}}
2016-11-04T10:35:08.802+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108327, 65.220}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.018%}}
2016-11-04T10:35:08.820+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108498, 1509.241}, Platine, Cours platine}, Variation{+ 0.044%}}
2016-11-04T10:35:08.827+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108736, 40.302}, Coton, Cours coton}, Variation{- 0.048%}}
2016-11-04T10:35:08.827+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108827, 1952.015}, Or, Cours or}, Variation{+ 0.014%}}
2016-11-04T10:35:08.833+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108774, 599.701}, Blé, Cours blé}, Variation{+ 0.050%}}
2016-11-04T10:35:08.843+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108560, 752.679}, Soja, Cours soja}, Variation{- 0.037%}}
2016-11-04T10:35:08.910+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108733, 33.005}, Brebt oil, Cours brent}, Variation{- 0.032%}}
2016-11-04T10:35:08.915+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108444, 69.517}, Pétrole, Cours pétrole}, Variation{+ 0.022%}}
2016-11-04T10:35:08.924+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108483, 109.724}, Café C, Cours café}, Variation{- 0.027%}}
2016-11-04T10:35:08.980+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108844, 740.220}, Soja, Cours soja}, Variation{- 0.017%}}
2016-11-04T10:35:09.041+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108980, 721.209}, Soja, Cours soja}, Variation{- 0.026%}}
2016-11-04T10:35:09.067+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108910, 32.162}, Brebt oil, Cours brent}, Variation{- 0.026%}}
2016-11-04T10:35:09.097+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108833, 615.345}, Blé, Cours blé}, Variation{+ 0.027%}}
2016-11-04T10:35:09.106+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108915, 72.449}, Pétrole, Cours pétrole}, Variation{+ 0.043%}}
2016-11-04T10:35:09.150+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108828, 39.130}, Coton, Cours coton}, Variation{- 0.030%}}
2016-11-04T10:35:09.151+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108827, 1952.015}, Or, Cours or}, Variation{+ 0.014%}}
2016-11-04T10:35:09.203+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109067, 30.755}, Brebt oil, Cours brent}, Variation{- 0.044%}}
2016-11-04T10:35:09.209+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108820, 1438.919}, Platine, Cours platine}, Variation{- 0.047%}}
2016-11-04T10:35:09.251+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108803, 68.092}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.045%}}
2016-11-04T10:35:09.306+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:08 38108924, 105.562}, Café C, Cours café}, Variation{- 0.038%}}
2016-11-04T10:35:09.351+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109106, 75.364}, Pétrole, Cours pétrole}, Variation{+ 0.041%}}
2016-11-04T10:35:09.396+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109203, 29.292}, Brebt oil, Cours brent}, Variation{- 0.048%}}
2016-11-04T10:35:09.427+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109150, 37.421}, Coton, Cours coton}, Variation{- 0.044%}}
2016-11-04T10:35:09.454+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109352, 78.716}, Pétrole, Cours pétrole}, Variation{+ 0.045%}}
2016-11-04T10:35:09.460+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109042, 710.820}, Soja, Cours soja}, Variation{- 0.015%}}
2016-11-04T10:35:09.462+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109097, 645.360}, Blé, Cours blé}, Variation{+ 0.049%}}
2016-11-04T10:35:09.497+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109151, 2026.015}, Or, Cours or}, Variation{+ 0.038%}}
2016-11-04T10:35:09.509+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109460, 697.749}, Soja, Cours soja}, Variation{- 0.019%}}
2016-11-04T10:35:09.511+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109209, 1421.737}, Platine, Cours platine}, Variation{- 0.012%}}
2016-11-04T10:35:09.527+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109307, 100.703}, Café C, Cours café}, Variation{- 0.047%}}
2016-11-04T10:35:09.659+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109252, 69.631}, Gaz naturel, Cours gaz naturel}, Variation{+ 0.023%}}
2016-11-04T10:35:09.661+01:00 INFO    SimulatorItemWrapper{entity=MatierePremiere{Prix{2016-11-04 10:35:09 38109428, 35.826}, Coton, Cours coton}, Variation{- 0.043%}}
